TBx,TBy,TBz,TDx,TDy,TDz,TTx,TTy,TTz,ULx,ULy,ULz,LLx,LLy,LLz,JWx,JWy,JWz,vTTx,vTTy,vTTz,vTDx,vTDy,vTDz,vTBx,vTBy,vTBz,vULx,vULy,vULz,vLLx,vLLy,vLLz,vJWx,vJWy,vJWz
-37.31057836,-50.74028142,4.329956666,-39.17966812,-58.05049771,11.35983618,-38.07906792,-68.65017987,20.25975283,-39.2093306,-68.64941197,38.59032812,-39.50984972,-76.27918867,38.89124023,-36.52910257,-88.5902197,29.64962396,4.467677609,7.117902365,2.191253489,9.648032978,7.622988031,-1.867571486,0.334495316,-5.094305751,-2.932771183,-5.217690065,1.797525826,-11.54904807,-12.79766972,-3.103832403,-14.440315,-1.303531655,-2.653280747,-3.786126379
-37.30924038,-50.76065864,4.318225582,-39.14107599,-58.02000576,11.35236589,-38.06119721,-68.62170826,20.26851784,-39.23020136,-68.64222187,38.54413193,-39.5610404,-76.291604,38.83347897,-36.5343167,-88.60083282,29.63447946,3.825783383,6.372544087,1.641837259,8.850395103,6.975394735,-1.90435368,0.595883926,-4.603188916,-3.023266403,-4.756376827,1.392635842,-11.11580329,-11.08819245,-2.967316164,-13.38571641,-0.942365768,-2.488415037,-3.978554862
-37.30685685,-50.7790714,4.306132516,-39.10567441,-57.99210418,11.34474848,-38.04589407,-68.59621808,20.27508519,-39.24922687,-68.63665132,38.49966872,-39.60539317,-76.30347326,38.77993611,-36.53808616,-88.61078648,29.61856524,2.732017396,5.031075461,0.647020775,7.401385617,5.732014924,-1.985030221,1.022810575,-3.710299325,-3.179324992,-3.899642956,0.715782454,-10.16505005,-7.957582571,-2.680457173,-11.38039612,-0.322840477,-2.185724203,-4.356763471
-37.30276561,-50.7939126,4.293415216,-39.07606886,-57.96917612,11.33680835,-38.034966,-68.57609378,20.27767327,-39.26482544,-68.63378819,38.45900852,-39.6372235,-76.31419509,38.73441452,-36.53937752,-88.61952938,29.60113819,1.397681434,3.334375168,-0.590163196,5.586987858,4.106011225,-2.110539309,1.524083015,-2.550870689,-3.344035135,-2.850175487,-0.091103777,-8.711947209,-4.01400988,-2.27324353,-8.757405795,0.39164671,-1.740436515,-4.812627118
-37.29666927,-50.80411608,4.280039075,-39.05372091,-57.95275207,11.3283662,-38.02937528,-68.56275628,20.27531262,-39.27622614,-68.63415261,38.42416073,-39.65327954,-76.32328806,38.6993849,-36.53781094,-88.62649112,29.58188768,0.074744344,1.566590395,-1.83435695,3.73168334,2.362078429,-2.28342004,1.993231032,-1.292374674,-3.452768243,-1.822799655,-0.860730243,-6.811463384,0.011710491,-1.78003744,-5.919751952,1.043503842,-1.16040489,-5.226240138
-37.28869635,-50.80928558,4.266228003,-39.03879418,-57.94330376,11.31923252,-38.0290763,-68.55648992,20.26797519,-39.28351734,-68.63759553,38.39691487,-39.6532327,-76.33040821,38.67570589,-36.53363692,-88.63113274,29.56098272,-0.996319166,-0.005475336,-2.873551753,2.111284586,0.761792912,-2.502360078,2.332683565,-0.103052784,-3.45008494,-0.974228959,-1.435548078,-4.570698837,3.432208067,-1.234134863,-3.254436577,1.534995505,-0.479407668,-5.500260113
-37.27936561,-50.80969779,4.252427663,-39.03034904,-57.94025659,11.30922308,-38.03306158,-68.55651182,20.25648098,-39.28741425,-68.64333772,38.37863208,-39.63950386,-76.33534475,38.66268814,-36.52749694,-88.63305038,29.53898168,-1.633877046,-1.181331604,-3.560260988,0.894110515,-0.481362165,-2.751777375,2.475549459,0.876846876,-3.30140883,-0.36176592,-1.699812073,-2.15530164,5.742858996,-0.666013549,-1.063653753,1.854698226,0.238714555,-5.577191987
-37.26946342,-50.8061904,4.239222027,-39.0267726,-57.94218204,11.29821597,-38.03959709,-68.56123714,20.24223994,-39.28886132,-68.65013697,38.37001087,-39.61653243,-76.33800881,38.65843353,-36.52007815,-88.63209552,29.51667291,-1.749218283,-1.854967504,-3.829475735,0.126188494,-1.229243412,-2.992662845,2.39955546,1.555883292,-2.997473573,0.055555595,-1.603541516,0.214869852,6.703007407,-0.104356325,0.472935868,2.068156953,0.908943082,-5.437420592
-37.2598652,-50.79996687,4.227232133,-39.02626785,-57.94709901,11.28624532,-38.04659396,-68.56865701,20.22692204,-39.28863909,-68.65655114,38.37087035,-39.5897204,-76.33842623,38.66032527,-36.51180552,-88.62845974,29.49492323,-1.362519113,-2.020486399,-3.694258053,-0.24341272,-1.428061095,-3.162903879,2.129883976,1.901494691,-2.553059015,0.377670662,-1.174673922,2.285359511,6.348248946,0.422149836,1.30303345,2.279171663,1.445113104,-5.085794327
-37.25134566,-50.79236089,4.217019897,-39.0272415,-57.95281125,11.2735937,-38.05204404,-68.57673896,20.21214501,-39.28712841,-68.66124983,38.38001179,-39.5643274,-76.33673763,38.66553741,-36.50268883,-88.62267929,29.47458005,-0.598466547,-1.758493117,-3.226503713,-0.316209038,-1.103485699,-3.191468608,1.730679356,1.938726706,-2.003169474,0.70500568,-0.516065061,3.804005013,4.94233119,0.883593638,1.481139518,2.578195763,1.783878961,-4.538122863
